Row Type,Action,Keyword status,Level,Campaign,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,protez tırnak seti,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,nail art kalemi,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,trendyol,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,hepsiburada,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,aliexpress,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,amazon,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,shein,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,n11,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,çiçeksepeti,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,instagram mağaza,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,ücretsiz,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,bedava,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,indirim kuponu,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,kampanya kodu,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,promosyon kodu,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,ankara,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,istanbul,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,bursa,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,antalya,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,muğla,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,aydın,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,manisa,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,denizli,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,adana,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,kayseri,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,konya,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,eskişehir,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,bodrum,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,kuşadası,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,didim,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,tırnak mantarı,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,tırnak batması,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,doktor,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,tedavi,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,hastalık,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,ilaç,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,dermatolog,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,klinik,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,ameliyat,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,enfeksiyon,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,youtube,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,video,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,izle,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,fotoğraf,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,resimleri,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,model önerileri,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,modelleri,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,şablonları,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,görselleri,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,trendleri,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,pinterest,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,salon açmak,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,franchise,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,bayilik,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,kiralık,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,satılık,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,devren,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,iş fırsatı,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,yatırım,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,zararlı mı,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,zararları,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,hamilelikte,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,alerji,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,nedir,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,ne demek,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,anlamı,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,şikayet,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,şikayetvar,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,maket tırnak,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,çocuk,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,oyuncak,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,köpek,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,kedi,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,hayvan,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,pet,Phrase match
